"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Workers 16 years and over","Vermont","320,941","±2,006","320,941","(X)",2010
"Car, truck, or van -- drove alone","Vermont","237,969","±2,377","74.10%","±0.6",2010
"Car, truck, or van -- carpooled","Vermont","33,594","±1,283","10.50%","±0.4",2010
"Public transportation (excluding taxicab)","Vermont","3,140","±343","1.00%","±0.1",2010
"Walked","Vermont","19,778","±962","6.20%","±0.3",2010
"Other means","Vermont","5,036","±436","1.60%","±0.1",2010
"Worked at home","Vermont","21,424","±795","6.70%","±0.2",2010
"Mean travel time to work (minutes)","Vermont","21.5","±0.2","(X)","(X)",2010
"Workers 16 years and over","Virginia","3,851,989","±8,224","3,851,989","(X)",2010
"Car, truck, or van -- drove alone","Virginia","2,966,159","±8,764","77.00%","±0.1",2010
"Car, truck, or van -- carpooled","Virginia","415,087","±4,691","10.80%","±0.1",2010
"Public transportation (excluding taxicab)","Virginia","164,107","±3,526","4.30%","±0.1",2010
"Walked","Virginia","90,824","±3,284","2.40%","±0.1",2010
"Other means","Virginia","53,024","±1,898","1.40%","±0.1",2010
"Worked at home","Virginia","162,788","±3,728","4.20%","±0.1",2010
"Mean travel time to work (minutes)","Virginia","27.1","±0.1","(X)","(X)",2010
"Workers 16 years and over","Washington","3,093,824","±8,423","3,093,824","(X)",2010
"Car, truck, or van -- drove alone","Washington","2,237,676","±7,961","72.30%","±0.2",2010
"Car, truck, or van -- carpooled","Washington","357,409","±4,487","11.60%","±0.1",2010
"Public transportation (excluding taxicab)","Washington","171,774","±2,779","5.60%","±0.1",2010
"Walked","Washington","107,515","±3,221","3.50%","±0.1",2010
"Other means","Washington","62,723","±2,009","2.00%","±0.1",2010
"Worked at home","Washington","156,727","±3,121","5.10%","±0.1",2010
"Mean travel time to work (minutes)","Washington","25.4","±0.1","(X)","(X)",2010
"Workers 16 years and over","West Virginia","744,023","±3,933","744,023","(X)",2010
"Car, truck, or van -- drove alone","West Virginia","605,247","±4,016","81.30%","±0.4",2010
"Car, truck, or van -- carpooled","West Virginia","80,393","±2,059","10.80%","±0.3",2010
"Public transportation (excluding taxicab)","West Virginia","6,770","±620","0.90%","±0.1",2010
"Walked","West Virginia","21,421","±1,162","2.90%","±0.2",2010
"Other means","West Virginia","8,722","±598","1.20%","±0.1",2010
"Worked at home","West Virginia","21,470","±1,177","2.90%","±0.2",2010
"Mean travel time to work (minutes)","West Virginia","25.4","±0.2","(X)","(X)",2010
"Workers 16 years and over","Wisconsin","2,812,812","±6,976","2,812,812","(X)",2010
"Car, truck, or van -- drove alone","Wisconsin","2,245,648","±6,994","79.80%","±0.1",2010
"Car, truck, or van -- carpooled","Wisconsin","262,074","±3,405","9.30%","±0.1",2010
"Public transportation (excluding taxicab)","Wisconsin","50,545","±1,547","1.80%","±0.1",2010
"Walked","Wisconsin","94,866","±2,070","3.40%","±0.1",2010
"Other means","Wisconsin","47,764","±1,555","1.70%","±0.1",2010
"Worked at home","Wisconsin","111,915","±1,520","4.00%","±0.1",2010
"Mean travel time to work (minutes)","Wisconsin","21.3","±0.1","(X)","(X)",2010
"Workers 16 years and over","Wyoming","279,937","±1,902","279,937","(X)",2010
"Car, truck, or van -- drove alone","Wyoming","211,080","±2,282","75.40%","±0.7",2010
"Car, truck, or van -- carpooled","Wyoming","34,353","±1,559","12.30%","±0.5",2010
"Public transportation (excluding taxicab)","Wyoming","3,842","±440","1.40%","±0.2",2010
"Walked","Wyoming","10,770","±856","3.80%","±0.3",2010
"Other means","Wyoming","5,969","±635","2.10%","±0.2",2010
"Worked at home","Wyoming","13,923","±742","5.00%","±0.3",2010
"Mean travel time to work (minutes)","Wyoming","18.5","±0.4","(X)","(X)",2010
"Workers 16 years and over","Puerto Rico","1,105,033","±5,665","1,105,033","(X)",2010
"Car, truck, or van -- drove alone","Puerto Rico","849,223","±5,895","76.90%","±0.3",2010
"Car, truck, or van -- carpooled","Puerto Rico","123,035","±2,385","11.10%","±0.2",2010
"Public transportation (excluding taxicab)","Puerto Rico","34,297","±1,213","3.10%","±0.1",2010
"Walked","Puerto Rico","43,523","±1,264","3.90%","±0.1",2010
"Other means","Puerto Rico","30,436","±1,181","2.80%","±0.1",2010
"Worked at home","Puerto Rico","24,519","±1,517","2.20%","±0.1",2010
"Mean travel time to work (minutes)","Puerto Rico","29.3","±0.2","(X)","(X)",2010
"Workers 16 years and over","Alabama","1,995,834","±7,509","1,995,834","(X)",2011
"Car, truck, or van -- drove alone","Alabama","1,673,170","±7,754","83.80%","±0.2",2011
"Car, truck, or van -- carpooled","Alabama","216,991","±4,164","10.90%","±0.2",2011
"Public transportation (excluding taxicab)","Alabama","9,018","±682","0.50%","±0.1",2011
"Walked","Alabama","24,322","±1,211","1.20%","±0.1",2011
"Other means","Alabama","21,172","±962","1.10%","±0.1",2011
"Worked at home","Alabama","51,161","±1,818","2.60%","±0.1",2011
"Mean travel time to work (minutes)","Alabama","24","±0.1","(X)","(X)",2011
"Workers 16 years and over","Alaska","339,490","±2,038","339,490","(X)",2011
"Car, truck, or van -- drove alone","Alaska","228,125","±2,350","67.20%","±0.6",2011
"Car, truck, or van -- carpooled","Alaska","45,512","±1,741","13.40%","±0.5",2011
"Public transportation (excluding taxicab)","Alaska","5,129","±462","1.50%","±0.1",2011
"Walked","Alaska","26,293","±1,101","7.70%","±0.3",2011
"Other means","Alaska","16,701","±738","4.90%","±0.2",2011
"Worked at home","Alaska","17,730","±1,185","5.20%","±0.4",2011
"Mean travel time to work (minutes)","Alaska","18.2","±0.2","(X)","(X)",2011
"Workers 16 years and over","Arizona","2,695,734","±8,676","2,695,734","(X)",2011
"Car, truck, or van -- drove alone","Arizona","2,042,227","±8,950","75.80%","±0.2",2011
"Car, truck, or van -- carpooled","Arizona","330,353","±5,114","12.30%","±0.2",2011
"Public transportation (excluding taxicab)","Arizona","53,854","±2,080","2.00%","±0.1",2011
"Walked","Arizona","57,884","±1,913","2.10%","±0.1",2011
"Other means","Arizona","67,085","±2,230","2.50%","±0.1",2011
"Worked at home","Arizona","144,331","±3,323","5.40%","±0.1",2011
"Mean travel time to work (minutes)","Arizona","24.7","±0.1","(X)","(X)",2011
"Workers 16 years and over","Arkansas","1,229,750","±5,353","1,229,750","(X)",2011
"Car, truck, or van -- drove alone","Arkansas","1,000,377","±4,835","81.30%","±0.3",2011
"Car, truck, or van -- carpooled","Arkansas","143,824","±3,086","11.70%","±0.2",2011
"Public transportation (excluding taxicab)","Arkansas","5,363","±550","0.40%","±0.1",2011
"Walked","Arkansas","22,462","±1,072","1.80%","±0.1",2011
"Other means","Arkansas","17,708","±1,059","1.40%","±0.1",2011
"Worked at home","Arkansas","40,016","±1,398","3.30%","±0.1",2011
"Mean travel time to work (minutes)","Arkansas","21.2","±0.1","(X)","(X)",2011
"Workers 16 years and over","California","16,251,032","±16,390","16,251,032","(X)",2011
"Car, truck, or van -- drove alone","California","11,866,492","±17,407","73.00%","±0.1",2011
"Car, truck, or van -- carpooled","California","1,899,937","±14,221","11.70%","±0.1",2011
"Public transportation (excluding taxicab)","California","833,261","±7,145","5.10%","±0.1",2011
"Walked","California","453,164","±5,987","2.80%","±0.1",2011
"Other means","California","377,291","±5,204","2.30%","±0.1",2011
"Worked at home","California","820,887","±7,315","5.10%","±0.1",2011
"Mean travel time to work (minutes)","California","27","±0.1","(X)","(X)",2011
"Workers 16 years and over","Colorado","2,455,116","±7,075","2,455,116","(X)",2011
"Car, truck, or van -- drove alone","Colorado","1,831,614","±7,651","74.60%","±0.2",2011
"Car, truck, or van -- carpooled","Colorado","251,962","±3,814","10.30%","±0.1",2011
"Public transportation (excluding taxicab)","Colorado","80,390","±2,274","3.30%","±0.1",2011
"Walked","Colorado","75,173","±2,135","3.10%","±0.1",2011
"Other means","Colorado","59,597","±1,806","2.40%","±0.1",2011
"Worked at home","Colorado","156,380","±2,914","6.40%","±0.1",2011
"Mean travel time to work (minutes)","Colorado","24.3","±0.1","(X)","(X)",2011
"Workers 16 years and over","Connecticut","1,728,715","±4,476","1,728,715","(X)",2011
"Car, truck, or van -- drove alone","Connecticut","1,362,249","±5,175","78.80%","±0.2",2011
"Car, truck, or van -- carpooled","Connecticut","145,780","±2,942","8.40%","±0.2",2011
"Public transportation (excluding taxicab)","Connecticut","77,914","±1,895","4.50%","±0.1",2011
"Walked","Connecticut","52,032","±2,108","3.00%","±0.1",2011
"Other means","Connecticut","21,077","±991","1.20%","±0.1",2011
"Worked at home","Connecticut","69,663","±1,812","4.00%","±0.1",2011
"Mean travel time to work (minutes)","Connecticut","24.7","±0.1","(X)","(X)",2011
"Workers 16 years and over","Delaware","413,958","±2,708","413,958","(X)",2011
"Car, truck, or van -- drove alone","Delaware","331,390","±2,734","80.10%","±0.4",2011
"Car, truck, or van -- carpooled","Delaware","39,810","±1,632","9.60%","±0.4",2011
"Public transportation (excluding taxicab)","Delaware","13,671","±982","3.30%","±0.2",2011
"Walked","Delaware","9,633","±852","2.30%","±0.2",2011
"Other means","Delaware","5,679","±689","1.40%","±0.2",2011
"Worked at home","Delaware","13,775","±869","3.30%","±0.2",2011
"Mean travel time to work (minutes)","Delaware","24.6","±0.2","(X)","(X)",2011
"Workers 16 years and over","District of Columbia","297,730","±2,180","297,730","(X)",2011
"Car, truck, or van -- drove alone","District of Columbia","105,674","±2,027","35.50%","±0.6",2011
"Car, truck, or van -- carpooled","District of Columbia","19,219","±1,200","6.50%","±0.4",2011
"Public transportation (excluding taxicab)","District of Columbia","111,784","±1,752","37.50%","±0.6",2011
"Walked","District of Columbia","35,622","±1,466","12.00%","±0.5",2011
"Other means","District of Columbia","11,058","±664","3.70%","±0.2",2011
"Worked at home","District of Columbia","14,373","±811","4.80%","±0.3",2011
"Mean travel time to work (minutes)","District of Columbia","29.6","±0.3","(X)","(X)",2011
"Workers 16 years and over","Florida","8,127,157","±15,462","8,127,157","(X)",2011
"Car, truck, or van -- drove alone","Florida","6,463,255","±17,096","79.50%","±0.1",2011
"Car, truck, or van -- carpooled","Florida","828,093","±9,444","10.20%","±0.1",2011
"Public transportation (excluding taxicab)","Florida","160,067","±3,867","2.00%","±0.1",2011
"Walked","Florida","127,943","±2,766","1.60%","±0.1",2011
"Other means","Florida","178,653","±4,237","2.20%","±0.1",2011
"Worked at home","Florida","369,146","±5,265","4.50%","±0.1",2011
"Mean travel time to work (minutes)","Florida","25.7","±0.1","(X)","(X)",2011
"Workers 16 years and over","Georgia","4,239,802","±11,320","4,239,802","(X)",2011
"Car, truck, or van -- drove alone","Georgia","3,339,084","±12,810","78.80%","±0.2",2011
"Car, truck, or van -- carpooled","Georgia","470,887","±6,485","11.10%","±0.2",2011
"Public transportation (excluding taxicab)","Georgia","94,339","±3,031","2.20%","±0.1",2011
"Walked","Georgia","66,690","±2,379","1.60%","±0.1",2011
"Other means","Georgia","74,105","±2,378","1.70%","±0.1",2011
"Worked at home","Georgia","194,697","±3,471","4.60%","±0.1",2011
"Mean travel time to work (minutes)","Georgia","27","±0.1","(X)","(X)",2011
"Workers 16 years and over","Hawaii","658,272","±3,100","658,272","(X)",2011
"Car, truck, or van -- drove alone","Hawaii","438,196","±3,915","66.60%","±0.5",2011
"Car, truck, or van -- carpooled","Hawaii","98,576","±2,673","15.00%","±0.4",2011
"Public transportation (excluding taxicab)","Hawaii","40,283","±1,713","6.10%","±0.3",2011
"Walked","Hawaii","30,419","±1,354","4.60%","±0.2",2011
"Other means","Hawaii","19,806","±1,071","3.00%","±0.2",2011
"Worked at home","Hawaii","30,992","±1,651","4.70%","±0.2",2011
"Mean travel time to work (minutes)","Hawaii","25.9","±0.2","(X)","(X)",2011
"Workers 16 years and over","Idaho","687,770","±2,934","687,770","(X)",2011
"Car, truck, or van -- drove alone","Idaho","526,705","±3,008","76.60%","±0.4",2011
"Car, truck, or van -- carpooled","Idaho","75,537","±2,139","11.00%","±0.3",2011
"Public transportation (excluding taxicab)","Idaho","6,086","±548","0.90%","±0.1",2011
"Walked","Idaho","21,784","±1,243","3.20%","±0.2",2011
"Other means","Idaho","19,178","±1,154","2.80%","±0.2",2011
"Worked at home","Idaho","38,480","±1,632","5.60%","±0.2",2011
"Mean travel time to work (minutes)","Idaho","20","±0.2","(X)","(X)",2011
"Workers 16 years and over","Illinois","5,921,968","±10,138","5,921,968","(X)",2011
"Car, truck, or van -- drove alone","Illinois","4,349,477","±11,740","73.40%","±0.1",2011
"Car, truck, or van -- carpooled","Illinois","536,064","±6,490","9.10%","±0.1",2011
"Public transportation (excluding taxicab)","Illinois","519,871","±5,392","8.80%","±0.1",2011
"Walked","Illinois","184,740","±3,479","3.10%","±0.1",2011
"Other means","Illinois","94,149","±2,246","1.60%","±0.1",2011
"Worked at home","Illinois","237,667","±3,199","4.00%","±0.1",2011
"Mean travel time to work (minutes)","Illinois","28.1","±0.1","(X)","(X)",2011
"Workers 16 years and over","Indiana","2,923,957","±8,089","2,923,957","(X)",2011
"Car, truck, or van -- drove alone","Indiana","2,425,644","±7,577","83.00%","±0.2",2011
"Car, truck, or van -- carpooled","Indiana","272,652","±4,177","9.30%","±0.1",2011
"Public transportation (excluding taxicab)","Indiana","30,416","±1,202","1.00%","±0.1",2011
"Walked","Indiana","63,462","±1,815","2.20%","±0.1",2011
"Other means","Indiana","37,676","±1,402","1.30%","±0.1",2011
"Worked at home","Indiana","94,107","±2,406","3.20%","±0.1",2011
"Mean travel time to work (minutes)","Indiana","23.1","±0.1","(X)","(X)",2011
"Workers 16 years and over","Iowa","1,524,370","±4,402","1,524,370","(X)",2011
"Car, truck, or van -- drove alone","Iowa","1,206,343","±4,995","79.10%","±0.2",2011
"Car, truck, or van -- carpooled","Iowa","151,299","±2,475","9.90%","±0.2",2011
"Public transportation (excluding taxicab)","Iowa","17,239","±869","1.10%","±0.1",2011
"Walked","Iowa","57,258","±1,372","3.80%","±0.1",2011
"Other means","Iowa","20,448","±996","1.30%","±0.1",2011
"Worked at home","Iowa","71,783","±1,437","4.70%","±0.1",2011
"Mean travel time to work (minutes)","Iowa","18.6","±0.1","(X)","(X)",2011
"Workers 16 years and over","Kansas","1,381,297","±4,519","1,381,297","(X)",2011
"Car, truck, or van -- drove alone","Kansas","1,123,433","±4,995","81.30%","±0.3",2011
"Car, truck, or van -- carpooled","Kansas","135,985","±2,634","9.80%","±0.2",2011
"Public transportation (excluding taxicab)","Kansas","6,395","±586","0.50%","±0.1",2011
"Walked","Kansas","35,164","±1,501","2.50%","±0.1",2011
"Other means","Kansas","19,097","±849","1.40%","±0.1",2011
"Worked at home","Kansas","61,223","±1,518","4.40%","±0.1",2011
"Mean travel time to work (minutes)","Kansas","18.9","±0.1","(X)","(X)",2011
"Workers 16 years and over","Kentucky","1,836,432","±7,228","1,836,432","(X)",2011
"Car, truck, or van -- drove alone","Kentucky","1,504,327","±6,738","81.90%","±0.2",2011
"Car, truck, or van -- carpooled","Kentucky","195,512","±2,918","10.60%","±0.2",2011
"Public transportation (excluding taxicab)","Kentucky","21,622","±989","1.20%","±0.1",2011
"Walked","Kentucky","39,758","±1,383","2.20%","±0.1",2011
"Other means","Kentucky","20,367","±982","1.10%","±0.1",2011
"Worked at home","Kentucky","54,846","±1,537","3.00%","±0.1",2011
"Mean travel time to work (minutes)","Kentucky","22.6","±0.1","(X)","(X)",2011
"Workers 16 years and over","Louisiana","1,939,748","±6,682","1,939,748","(X)",2011
"Car, truck, or van -- drove alone","Louisiana","1,582,056","±7,340","81.60%","±0.2",2011
"Car, truck, or van -- carpooled","Louisiana","210,938","±4,204","10.90%","±0.2",2011
"Public transportation (excluding taxicab)","Louisiana","24,630","±1,266","1.30%","±0.1",2011
"Walked","Louisiana","38,597","±1,679","2.00%","±0.1",2011
"Other means","Louisiana","37,644","±1,592","1.90%","±0.1",2011
"Worked at home","Louisiana","45,883","±1,567","2.40%","±0.1",2011
"Mean travel time to work (minutes)","Louisiana","24.9","±0.1","(X)","(X)",2011
"Workers 16 years and over","Maine","639,503","±3,081","639,503","(X)",2011
"Car, truck, or van -- drove alone","Maine","503,085","±3,708","78.70%","±0.4",2011
